player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Tariq Abdul-Wahad,SG,27,DAL,4,0,6.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.3,0.0,0.5,1.0,1.5,0.5,0.5,0.3,0.8,1.3,0.0,0.0,10.4,3.0,-3.0,6.1,18.2,0.0,0.5,-9.1,9.4,-0.1,0.3,4.3,55.1,13.9,0.0,10.2,0.0,-0.1,-0.128,65
Courtney Alexander,SG,24,WAS,56,28,23.7,4.0,8.5,0.47,0.1,0.3,0.278,3.9,8.1,0.478,0.476,1.8,2.2,0.81,0.8,1.9,2.6,1.5,0.6,0.1,1.1,2.0,9.8,0.038,11.3,0.4,-2.1,-1.6,9.3,0.6,0.255,-0.5,3.7,1.6,13.6,1.4,10.2,6.5,0.521,20.4,0.0,2.2,0.08,74
Ray Allen,SG,26,MIL,69,67,36.6,7.7,16.6,0.462,3.3,7.7,0.434,4.4,9.0,0.485,0.561,3.1,3.6,0.873,1.2,3.3,4.5,3.9,1.3,0.3,2.3,2.3,21.8,0.46,19.4,0.5,4.3,-2.2,10.1,1.3,0.213,6.4,3.9,7.6,21.6,1.9,11.2,7.1,0.598,26.2,4.0,8.9,0.169,93
Rafer Alston,PG,25,MIL,50,7,12.0,1.3,3.8,0.346,0.5,1.4,0.38,0.8,2.4,0.325,0.416,0.4,0.6,0.621,0.2,1.2,1.4,2.9,0.6,0.0,0.8,0.8,3.5,0.372,36.4,0.2,-3.3,-2.1,11.4,0.5,0.152,-1.1,2.0,0.3,13.9,2.8,16.4,6.9,0.434,19.0,-0.2,0.7,0.059,64
Derek Anderson,SG,27,POR,70,27,26.6,3.5,8.7,0.404,1.2,3.3,0.373,2.3,5.5,0.422,0.473,2.5,3.0,0.856,0.7,2.0,2.7,3.1,1.0,0.1,1.2,1.6,10.8,0.373,18.6,0.3,0.9,-1.1,9.1,1.5,0.34,2.0,2.9,3.8,15.5,2.0,11.0,6.0,0.538,19.4,1.3,5.3,0.137,77
Shandon Anderson,SG,28,NYK,82,6,19.5,1.8,4.5,0.399,0.5,1.7,0.277,1.3,2.8,0.474,0.452,0.9,1.3,0.692,0.7,2.3,3.0,0.9,0.6,0.2,1.2,1.6,5.0,0.378,7.7,0.7,-2.9,0.4,13.9,1.3,0.287,-3.2,4.1,-0.9,8.0,1.6,18.8,9.0,0.489,15.1,-0.3,0.4,0.013,70
Gilbert Arenas,PG,20,GSW,47,30,24.6,3.7,8.2,0.453,0.8,2.4,0.345,2.9,5.8,0.498,0.504,2.6,3.4,0.775,0.9,1.9,2.8,3.7,1.5,0.2,2.1,2.4,10.9,0.294,24.8,0.6,1.2,-1.1,8.7,0.7,0.417,2.3,3.7,2.1,17.0,3.0,17.6,6.1,0.562,20.1,0.9,2.7,0.114,82
Brandon Armstrong,SG,21,NJN,35,0,5.6,0.8,2.4,0.318,0.1,0.5,0.294,0.6,1.9,0.324,0.347,0.1,0.3,0.5,0.3,0.2,0.5,0.2,0.2,0.0,0.2,0.7,1.8,0.2,6.5,0.4,-8.7,-2.8,3.5,0.2,0.118,-5.9,5.7,-0.4,3.8,1.9,8.2,4.6,0.358,22.3,-0.3,-0.2,-0.054,61
Darrell Armstrong,PG,33,ORL,82,79,33.3,4.2,10.1,0.419,1.7,4.9,0.349,2.5,5.2,0.484,0.503,2.2,2.5,0.888,1.0,2.9,3.9,5.5,1.9,0.1,2.1,2.0,12.4,0.481,25.5,0.3,3.0,0.0,9.7,2.6,0.248,3.0,3.4,5.0,16.7,3.0,16.0,6.5,0.553,17.9,3.4,7.6,0.134,78
Vin Baker,C,30,SEA,55,41,31.1,5.7,11.8,0.485,0.0,0.1,0.125,5.7,11.7,0.49,0.486,2.6,4.1,0.633,3.1,3.3,6.4,1.3,0.4,0.7,2.3,3.6,14.1,0.012,7.0,1.6,-2.8,-1.7,12.3,0.9,0.348,-1.2,11.8,1.3,14.1,0.7,14.5,12.1,0.517,23.8,-0.4,2.2,0.061,71
Brent Barry,SG,30,SEA,81,81,37.5,5.0,9.8,0.508,2.0,4.8,0.424,2.9,5.0,0.588,0.611,2.4,2.9,0.846,0.7,4.7,5.4,5.3,1.8,0.5,2.0,2.2,14.4,0.49,21.3,0.9,5.8,1.1,14.6,3.3,0.296,4.7,2.3,8.8,19.3,2.6,15.6,8.6,0.652,16.2,6.0,12.1,0.191,81
Jon Barry,SG,32,DET,82,6,24.2,3.1,6.4,0.489,1.5,3.1,0.469,1.6,3.2,0.508,0.604,1.3,1.4,0.931,0.5,2.3,2.9,3.3,1.1,0.2,1.4,1.6,9.0,0.494,23.2,0.7,3.2,0.0,11.3,2.5,0.222,3.2,2.5,5.0,17.7,2.5,16.2,6.9,0.645,16.2,2.6,7.5,0.18,72
Tony Battie,C,25,BOS,74,73,24.6,2.9,5.3,0.541,0.0,0.0,0.0,2.9,5.2,0.544,0.541,1.2,1.8,0.677,2.5,4.0,6.5,0.5,0.8,0.9,0.7,3.0,6.9,0.005,3.2,2.9,0.1,1.9,18.4,3.0,0.333,-1.8,10.8,3.2,14.5,1.7,10.2,14.5,0.57,12.5,1.0,6.2,0.164,69
Shane Battier,SF,23,MEM,78,78,39.7,5.3,12.3,0.429,1.3,3.5,0.373,4.0,8.8,0.451,0.482,2.5,3.6,0.7,2.3,3.1,5.4,2.8,1.6,1.0,2.0,2.8,14.4,0.287,11.9,1.8,1.9,0.9,8.6,2.1,0.294,0.9,6.5,2.7,13.9,2.1,12.5,7.5,0.518,18.2,3.0,4.8,0.074,79
Raja Bell,SG,25,PHI,74,12,12.0,1.4,3.2,0.429,0.2,0.6,0.273,1.2,2.6,0.464,0.454,0.5,0.6,0.75,0.4,1.1,1.5,1.0,0.3,0.1,0.6,1.5,3.4,0.183,13.4,0.3,-3.7,-0.8,10.1,1.0,0.2,-2.9,4.0,0.1,8.6,1.3,15.5,7.1,0.486,15.9,-0.4,1.1,0.059,63
Travis Best,PG,29,CHI,30,18,26.4,3.7,8.5,0.441,0.3,0.8,0.32,3.5,7.6,0.454,0.457,1.6,1.7,0.922,0.3,2.4,2.7,5.0,1.1,0.0,1.3,2.4,9.3,0.098,33.1,0.1,-1.9,-2.0,10.7,0.4,0.201,0.0,1.4,1.0,14.9,2.1,12.6,6.0,0.505,18.4,0.0,1.4,0.085,72
